worldChamp,driverId,driverRef,raceId,constructorId,startPos,finishPos,racePoints,year,round,circuitId,name,nPoints,q1,q2,q3,nPits,pitDur,lap,fLapTime,position,wins,accumPoints,nAccumPoints
,846,norris,,1,1,1,25,2025,1,1,Australian Grand Prix,,75.912,75.415,75.096,5,15.11,43,82.167,1,1,25,
,857,piastri,,1,1,1,25,2025,2,17,Chinese Grand Prix,,91.591,91.2,90.641,1,23.938,53,95.52,4,1,27,
,830,verstappen,,9,1,1,25,2025,3,22,Japanese Grand Prix,,87.943,87.502,86.983,1,24.397,52,91.041,2,1,55,
,857,piastri,,1,1,1,25,2025,4,3,Bahrain Grand Prix,,91.392,90.454,89.841,2,24.699,36,95.14,2,2,67,
,857,piastri,,1,2,1,25,2025,5,77,Saudi Arabian Grand Prix,,87.901,87.545,87.304,1,21.388,50,92.228,1,3,92,
,857,piastri,,1,4,1,25,2025,6,79,Miami Grand Prix,,87.006,86.269,86.375,1,22.106,35,89.822,1,4,117,
,830,verstappen,,9,2,1,25,2025,7,21,San Marino Grand Prix,,75.175,75.394,74.704,2,29.824,58,77.988,3,2,118,
,846,norris,,1,1,1,25,2025,8,6,Monaco Grand Prix,,71.285,70.57,69.954,2,24.1245,78,73.221,1,2,149,
,857,piastri,,1,1,1,25,2025,9,4,Spanish Grand Prix,,72.551,71.998,71.546,3,22.148,61,75.743,1,5,172,
,847,russell,,131,1,1,25,2025,10,7,Canadian Grand Prix,,72.075,71.57,70.899,2,23.7465,63,74.119,4,1,126,
,846,norris,,1,1,1,25,2025,11,70,Austrian Grand Prix,,72.066,71.672,70.875,2,21.779,62,68.272,2,3,192,
,846,norris,,1,3,1,25,2025,12,9,British Grand Prix,,86.123,85.231,85.01,2,29.422,48,89.734,2,4,217,
,857,piastri,,1,2,1,25,2025,13,13,Belgian Grand Prix,,101.201,100.626,100.647,1,23.844,43,105.706,1,6,245,
,846,norris,,1,3,1,25,2025,14,11,Hungarian Grand Prix,,75.523,74.89,75.413,1,20.94,57,79.918,2,5,260,
,857,piastri,,1,1,1,25,2025,15,39,Dutch Grand Prix,,69.338,68.964,68.662,2,17.982,60,72.271,1,7,288,
,830,verstappen,,9,1,1,25,2025,16,14,Italian Grand Prix,,79.455,79.14,78.792,1,24.545,52,81.003,3,3,216,
,830,verstappen,,9,3,2,18,2025,1,1,Australian Grand Prix,,76.018,75.565,75.481,5,15.503,43,83.081,2,0,18,
,846,norris,,1,3,2,18,2025,2,17,Chinese Grand Prix,,90.983,90.787,90.793,1,22.213,53,95.454,1,1,43,
,846,norris,,1,2,2,18,2025,3,22,Japanese Grand Prix,,87.845,87.146,86.995,1,23.222,51,91.116,1,1,61,
,847,russell,,131,2,2,18,2025,4,3,Bahrain Grand Prix,,91.494,90.664,90.009,2,24.072,36,95.518,4,0,58,
,830,verstappen,,9,1,2,18,2025,5,77,Saudi Arabian Grand Prix,,87.778,87.529,87.294,1,26.03,49,92.28,3,1,81,
,846,norris,,1,2,2,18,2025,6,79,Miami Grand Prix,,86.955,86.499,86.269,1,22.044,36,89.746,2,1,106,
,846,norris,,1,4,2,18,2025,7,21,San Marino Grand Prix,,75.894,75.261,74.962,2,30.594,63,78.311,2,1,124,
